q4;q8;q13;q14;q15;q17;q23;cNotas
d;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;c;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;g;a;a;a;e;e;ruim                                                                                                                                                                                                                                                           
f;a;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
f;c;d;a;a;b;e;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;c;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;g;a;a;a;b;e;media                                                                                                                                                                                                                                                          
e;g;a;e;a;b;e;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;d;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;f;c;e;a;b;b;media                                                                                                                                                                                                                                                          
c;g;f;a;a;b;e;media                                                                                                                                                                                                                                                          
f;e;f;a;a;b;c;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
f;f;a;a;a;b;d;media                                                                                                                                                                                                                                                          
e;f;d;a;a;b;a;ruim                                                                                                                                                                                                                                                           
d;d;a;a;a;b;e;media                                                                                                                                                                                                                                                          
d;b;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;c;a;a;b;d;pessima                                                                                                                                                                                                                                                        
d;f;d;a;a;b;d;media                                                                                                                                                                                                                                                          
e;b;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
e;f;a;b;a;b;e;media                                                                                                                                                                                                                                                          
f;e;e;e;a;b;d;media                                                                                                                                                                                                                                                          
e;c;a;a;f;a;d;media                                                                                                                                                                                                                                                          
f;e;c;a;a;a;d;media                                                                                                                                                                                                                                                          
e;f;a;b;a;b;b;media                                                                                                                                                                                                                                                          
d;a;c;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;e;c;e;a;b;d;media                                                                                                                                                                                                                                                          
f;e;e;e;a;e;e;media                                                                                                                                                                                                                                                          
