q4;q8;q13;q14;q15;q17;q23;cNotas
e;c;a;a;c;b;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;d;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;f;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;pessima                                                                                                                                                                                                                                                        
a;b;f;a;a;a;b;media                                                                                                                                                                                                                                                          
e;d;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;d;e;a;a;b;e;alta                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;b;b;pessima                                                                                                                                                                                                                                                        
b;b;f;a;a;a;b;media                                                                                                                                                                                                                                                          
d;c;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;c;a;b;pessima                                                                                                                                                                                                                                                        
c;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;b;d;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
c;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
c;b;f;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;e;a;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;f;a;b;ruim                                                                                                                                                                                                                                                           
a;a;e;a;a;a;e;alta                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
c;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;d;b;ruim                                                                                                                                                                                                                                                           
d;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;d;a;d;media                                                                                                                                                                                                                                                          
b;a;f;a;a;a;d;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
a;a;a;a;d;a;e;media                                                                                                                                                                                                                                                          
a;a;f;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
e;c;b;a;a;b;d;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
e;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
c;b;a;e;f;b;b;media                                                                                                                                                                                                                                                          
b;a;a;a;f;a;b;pessima                                                                                                                                                                                                                                                        
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;c;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;f;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;e;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;a;f;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
a;e;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;c;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;f;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;a;a;f;a;c;media                                                                                                                                                                                                                                                          
a;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;f;a;c;media                                                                                                                                                                                                                                                          
c;a;f;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;d;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;e;a;a;a;e;b;pessima                                                                                                                                                                                                                                                        
b;a;a;a;d;b;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;d;e;a;a;b;c;media                                                                                                                                                                                                                                                          
d;d;f;a;a;b;b;alta                                                                                                                                                                                                                                                           
b;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;a;a;a;d;a;b;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;b;pessima                                                                                                                                                                                                                                                        
b;b;a;e;b;a;a;pessima                                                                                                                                                                                                                                                        
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;b;media                                                                                                                                                                                                                                                          
c;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;a;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;f;a;a;a;b;pessima                                                                                                                                                                                                                                                        
b;c;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;d;a;a;e;b;media                                                                                                                                                                                                                                                          
b;b;f;a;a;b;c;media                                                                                                                                                                                                                                                          
d;e;a;a;a;e;b;media                                                                                                                                                                                                                                                          
d;c;c;a;a;b;b;media                                                                                                                                                                                                                                                          
b;a;b;a;a;a;b;media                                                                                                                                                                                                                                                          
e;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;c;c;a;a;b;b;pessima                                                                                                                                                                                                                                                        
a;c;f;a;a;b;c;media                                                                                                                                                                                                                                                          
d;a;f;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;a;b;b;media                                                                                                                                                                                                                                                          
b;a;f;a;a;b;b;media                                                                                                                                                                                                                                                          
d;a;b;a;a;a;d;media                                                                                                                                                                                                                                                          
b;a;d;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;f;a;a;a;c;ruim                                                                                                                                                                                                                                                           
a;a;e;a;a;a;b;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;f;d;a;a;b;d;ruim                                                                                                                                                                                                                                                           
f;e;a;a;a;b;b;media                                                                                                                                                                                                                                                          
e;b;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;c;f;b;a;b;d;media                                                                                                                                                                                                                                                          
c;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
e;a;a;a;a;b;d;media                                                                                                                                                                                                                                                          
c;b;b;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
e;a;a;a;a;b;d;media                                                                                                                                                                                                                                                          
d;a;b;a;a;a;d;ruim                                                                                                                                                                                                                                                           
b;a;b;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;f;a;c;a;d;media                                                                                                                                                                                                                                                          
e;b;a;a;f;b;c;media                                                                                                                                                                                                                                                          
f;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;f;d;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
e;c;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
b;a;b;a;a;a;b;media                                                                                                                                                                                                                                                          
b;b;f;a;a;a;c;media                                                                                                                                                                                                                                                          
d;b;f;a;a;b;b;media                                                                                                                                                                                                                                                          
d;b;a;a;f;e;b;media                                                                                                                                                                                                                                                          
b;b;d;a;a;a;c;media                                                                                                                                                                                                                                                          
d;b;d;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;a;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
a;a;c;a;c;a;b;media                                                                                                                                                                                                                                                          
b;a;c;a;a;a;c;media                                                                                                                                                                                                                                                          
b;f;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;c;a;a;a;b;media                                                                                                                                                                                                                                                          
b;d;c;a;a;b;b;media                                                                                                                                                                                                                                                          
d;e;f;a;a;b;c;media                                                                                                                                                                                                                                                          
d;a;c;a;a;b;c;alta                                                                                                                                                                                                                                                           
a;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
b;b;b;a;a;b;d;media                                                                                                                                                                                                                                                          
a;a;e;a;a;a;e;media                                                                                                                                                                                                                                                          
c;g;b;a;a;b;c;pessima                                                                                                                                                                                                                                                        
d;b;a;a;a;b;b;media                                                                                                                                                                                                                                                          
e;f;c;a;a;b;c;media                                                                                                                                                                                                                                                          
e;d;d;a;a;b;c;media                                                                                                                                                                                                                                                          
b;d;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;f;a;a;d;b;media                                                                                                                                                                                                                                                          
